Model,Year,Mileage,HorsePower,Fuel,Transmission,Price
BMW 3,2007,190900,130 kW (177 CP),Diesel,manuala,5800
BMW 3,2010,140000,150 kW (204 CP),Diesel,automata,17499
BMW 3,2015,56000,180 kW (245 CP),Benzina,automata,20300
BMW 3,2013,126000,105 kW (143 CP),Diesel,manuala,18000
BMW 3,2007,150000,95 kW (129 CP),Benzina,manuala,4999
BMW 3,2009,145028,105 kW (143 CP),Benzina,manuala,9000
BMW 3,2007,210000,105 kW (143 CP),Diesel,manuala,4500
BMW 3,2007,139000,95 kW (129 CP),Benzina,manuala,6450
BMW 3,2013,275900,135 kW (184 CP),Diesel,automata,14980
BMW 3,2015,149576,180 kW (245 CP),Benzina,manuala,19500
BMW 3,2008,160000,130 kW (177 CP),Diesel,automata,4290
BMW 3,2007,240000,120 kW (163 CP),Diesel,manuala,4480
BMW 3,2007,162500,160 kW (218 CP),Benzina,automata,10500
BMW 3,2007,193584,210 kW (286 CP),Diesel,automata,8750
BMW 3,2011,124999,150 kW (204 CP),Diesel,manuala,9999
BMW 3,2012,174000,135 kW (184 CP),Diesel,manuala,13300
BMW 3,2008,123030,125 kW (170 CP),Benzina,manuala,6800
BMW 3,2013,143162,105 kW (143 CP),Diesel,automata,16911
BMW 3,2013,133262,121 kW (165 CP),Diesel,automata,22014
BMW 3,2015,55800,225 kW (306 CP),Benzina,automata,26500
BMW 3,2018,24537,240 kW (326 CP),Benzina,automata,37510
BMW 3,2010,193250,125 kW (170 CP),Benzina,manuala,9640
BMW 3,2009,98941,105 kW (143 CP),Benzina,manuala,9909
BMW 3,2008,177265,225 kW (306 CP),Benzina,automata,18945
BMW 3,2011,231409,121 kW (165 CP),Diesel,manuala,7645
BMW 3,2011,200500,210 kW (286 CP),Diesel,automata,14699
BMW 3,2009,236200,105 kW (143 CP),Diesel,manuala,6500
BMW 3,2007,154000,120 kW (163 CP),Diesel,manuala,6200
BMW 3,2013,155000,190 kW (258 CP),Diesel,automata,20900
BMW 3,2013,85000,135 kW (184 CP),Diesel,automata,24999
BMW 3,2008,200000,130 kW (177 CP),Diesel,manuala,5600
BMW 3,2009,187200,105 kW (143 CP),Diesel,manuala,6890
BMW 3,2015,116029,135 kW (184 CP),Diesel,automata,17480
BMW 3,2007,170000,160 kW (218 CP),Benzina,manuala,6990
BMW 3,2008,146000,105 kW (143 CP),Benzina,manuala,5000
BMW 3,2014,112000,135 kW (184 CP),Diesel,manuala,19000
BMW 3,2007,161500,125 kW (170 CP),Benzina,manuala,6400
BMW 3,2015,39888,135 kW (184 CP),Diesel,automata,24690
BMW 3,2016,51000,140 kW (190 CP),Diesel,manuala,29990
BMW 3,2010,32000,125 kW (170 CP),Benzina,manuala,14500
BMW 3,2011,130000,135 kW (184 CP),Diesel,manuala,10000
BMW 3,2014,146879,135 kW (184 CP),Diesel,automata,16499
BMW 3,2009,165000,105 kW (143 CP),Benzina,manuala,7500
BMW 3,2010,134000,105 kW (143 CP),Diesel,manuala,8500
BMW 3,2010,134000,105 kW (143 CP),Diesel,manuala,8500
BMW 3,2016,49999,140 kW (190 CP),Diesel,automata,23450
BMW 3,2014,146000,135 kW (184 CP),Diesel,automata,15500
BMW 3,2012,169000,85 kW (116 CP),Diesel,automata,13300
BMW 3,2007,129000,95 kW (129 CP),Benzina,manuala,4700
BMW 3,2016,138070,190 kW (258 CP),Diesel,automata,25850
BMW 3,2014,51868,135 kW (184 CP),Diesel,automata,23490
BMW 3,2015,73600,135 kW (184 CP),Benzina,automata,23990
BMW 3,2009,236000,105 kW (143 CP),Diesel,manuala,6500
BMW 3,2015,169000,110 kW (150 CP),Diesel,manuala,14750
BMW 3,2013,115383,105 kW (143 CP),Diesel,manuala,13490
BMW 3,2014,114904,135 kW (184 CP),Diesel,automata,17490
BMW 3,2017,54128,85 kW (116 CP),Diesel,manuala,20800
BMW 3,2012,216309,120 kW (163 CP),Diesel,manuala,11150
BMW 3,2011,59898,105 kW (143 CP),Diesel,manuala,10350
BMW 3,2017,57000,140 kW (190 CP),Diesel,automata,29900
BMW 3,2013,230000,135 kW (184 CP),Diesel,automata,12000
BMW 3,2007,180000,95 kW (129 CP),Benzina,manuala,4000
BMW 3,2007,135000,160 kW (218 CP),Benzina,manuala,10900
BMW 3,2015,65507,120 kW (163 CP),Diesel,manuala,17650
BMW 3,2011,135000,135 kW (184 CP),Diesel,manuala,13500
BMW 3,2015,116500,105 kW (143 CP),Diesel,automata,15900
BMW 3,2007,104500,110 kW (150 CP),Benzina,automata,9000
BMW 3,2007,132000,95 kW (129 CP),Benzina,manuala,4250
BMW 3,2016,141980,230 kW (313 CP),Diesel,automata,23990
BMW 3,2015,107000,140 kW (190 CP),Diesel,automata,22000
BMW 3,2009,80700,160 kW (218 CP),Benzina,manuala,15990
BMW 3,2008,170000,125 kW (170 CP),Benzina,manuala,8500
BMW 3,2013,98000,135 kW (184 CP),Diesel,automata,21500
BMW 3,2009,109500,180 kW (245 CP),Diesel,manuala,12490
BMW 3,2007,64000,160 kW (218 CP),Benzina,automata,9890
BMW 3,2009,124000,90 kW (122 CP),Benzina,manuala,7500
BMW 3,2008,214000,95 kW (129 CP),Benzina,manuala,2990
BMW 3,2016,138524,135 kW (184 CP),Diesel,automata,20490
BMW 3,2011,174925,135 kW (184 CP),Diesel,manuala,6820
BMW 3,2012,74000,105 kW (143 CP),Diesel,manuala,16900
BMW 3,2009,150000,130 kW (177 CP),Diesel,manuala,8000
BMW 3,2010,120000,105 kW (143 CP),Benzina,automata,10850
BMW 3,2009,131000,125 kW (170 CP),Benzina,automata,9500
BMW 3,2010,190000,135 kW (184 CP),Diesel,automata,8000
BMW 3,2016,180000,140 kW (190 CP),Diesel,automata,17990
BMW 3,2010,210000,130 kW (177 CP),Diesel,manuala,8000
BMW 3,2014,116400,100 kW (136 CP),Diesel,manuala,13923
BMW 3,2016,37700,180 kW (245 CP),Benzina,automata,25500
BMW 3,2015,90086,105 kW (143 CP),Diesel,automata,18850
