Model,Year,HorsePower,Fuel,Mileage,Transmission,Price
BMW 318d DPF Aut.,2007,105 kW (143 CP),Diesel,20000,automata,300 EUR (brut)
BMW 520 Serie 5 (G30/G31) Efficient Dynamics Lux,2018,140 kW (190 CP),Diesel,20000,automata,39.900 EUR (brut)
BMW 730d xDrive Sport Aut. M Sportpaket 20´´LM,2018,195 kW (265 CP),Diesel,20000,automata,59.950 EUR (brut) 50.378 EUR (net)
BMW 740d xDrive Sport-Aut. M Sportpaket UPE:138.468,2018,235 kW (320 CP),Diesel,20000,automata,69.950 EUR (brut) 58.782 EUR (net)
BMW 730dA Fern.P. Standh. HarmanK ACC Leas. ab 589,2018,195 kW (265 CP),Diesel,20000,automata,63.850 EUR (brut) 53.655 EUR (net)
BMW 730 d xDrive Luxury 265 Cv GARANZIA UFF. Iva,2018,195 kW (265 CP),Diesel,20000,automata,59.800 EUR (brut)
BMW 740Ld xDrive,2016,235 kW (320 CP),Diesel,20000,automata,64.990 EUR (brut) 53.711 EUR (net)
"BMW 320i M Sport Shadow,LED,NAVI,HUD,LEDER,PDC+KAM,",2018,135 kW (184 CP),Benzina,20081,automata,34.450 EUR (brut) 28.950 EUR (net)
BMW 520i Limousine Aut. Leder Navi Parka. LED,2018,135 kW (184 CP),Benzina,20150,automata,38.980 EUR (brut) 32.756 EUR (net)
BMW 320d Touring Sport-Aut. M Sport *PANORAMA - AHK*,2017,140 kW (190 CP),Diesel,20200,automata,21.900 EUR (brut) 18.403 EUR (net)
"BMW 740i Leas ab 629,- o.Anz. MSportpaket,Laserlicht",2018,240 kW (326 CP),Benzina,20238,automata,68.888 EUR (brut) 57.889 EUR (net)
BMW 320 i A Sport Line Navi LED HiFi SHZ Tempomat PD,2018,135 kW (184 CP),Benzina,20248,automata,28.775 EUR (brut) 24.181 EUR (net)
"BMW 330d Gran Turismo M Sportpaket 0Anz= 439,- brutt",2018,190 kW (258 CP),Diesel,20424,automata,41.450 EUR (brut) 34.832 EUR (net)
"BMW 740i Lim. M Sportpaket, Leasing ab  698,-  o.A.",2018,240 kW (326 CP),Benzina,20500,automata,69.690 EUR (brut) 58.563 EUR (net)
BMW 730d Limousine Laser Leasing ab 549 EUR o.A. HUD,2018,195 kW (265 CP),Diesel,20582,automata,62.750 EUR (brut) 52.731 EUR (net)
BMW 730d NAVI/LED/H-UP/DISPLAY-KEY/SOFTCLOSE/19-ZOLL,2016,195 kW (265 CP),Diesel,20604,automata,47.990 EUR (brut) 40.328 EUR (net)
